"id_cliente","nome_cliente","cnpj_cliente","data_criacao_cliente","data_modificacao_cliente"
1,Empresa Alpha,"12.345.678/0001-90",2026-07-30 17:07:33.409,
2,Empresa Beta,"98.765.432/0001-10",2026-07-30 17:07:33.409,
3,Empresa Gama,"45.678.901/0001-20",2026-07-30 17:07:33.409,
4,Empresa Delta,"67.890.123/0001-30",2026-07-30 17:07:33.409,
5,TechSolutions Ltda,"12.345.678/0001-89",2026-07-30 17:07:33.409,
6,Inovação & Logística S.A.,"98.865.432/0001-10",2026-07-30 17:07:33.409,
7,Vanguard Varejo Brasil,"45.121.789/0001-55",2026-07-30 17:07:33.409,
8,Alimentos Horizonte Ltda,"33.388.999/0001-22",2026-07-30 17:07:33.409,
9,Nexus Consultoria Empresarial,"97.444.111/0001-88",2026-07-30 17:07:33.409,
10,Alfa Soluções Industriais S.A.,"11.222.333/0001-01",2026-07-30 17:07:33.409,
11,Global Transportes & Logística,"22.333.444/0001-12",2026-07-30 17:07:33.409,
12,Verde Vida Produtos Naturais,"33.444.555/0001-23",2026-07-30 17:07:33.409,
13,Apex Tecnologia e Inovação,"44.555.666/0001-34",2026-07-30 17:07:33.409,
14,Sinergia Consultoria Financeira,"55.666.777/0001-45",2026-07-30 17:07:33.409,
15,Mega Atacado & Varejo Ltda,"66.777.888/0001-56",2026-07-30 17:07:33.409,
16,Prisma Comunicação e Marketing,"77.888.999/0001-67",2026-07-30 17:07:33.409,
17,Horizonte Saúde & Bem-Estar,"88.999.000/0001-78",2026-07-30 17:07:33.409,
18,Titan Construções e Projetos,"99.000.111/0001-89",2026-07-30 17:07:33.409,
19,Vanguarda Energia Renovável,"10.111.222/0001-90",2026-07-30 17:07:33.409,
20,Atlas Logística e Distribuição Ltda,"15.234.567/0001-01",2026-07-30 17:07:33.409,
21,Biolab Diagnósticos Médicos S.A.,"26.345.678/0001-12",2026-07-30 17:07:33.409,
22,Conecta Telecomunicações Ltda,"37.456.789/0001-23",2026-07-30 17:07:33.409,
23,Delta Engenharia e Infraestrutura,"48.567.890/0001-34",2026-07-30 17:07:33.409,
24,EcoServ Viabilidade Ambiental S.A.,"59.678.901/0001-45",2026-07-30 17:07:33.409,
25,Forte Alimentos S.A.,"60.789.012/0001-56",2026-07-30 17:07:33.409,
26,Gráfica e Editora Expressa Ltda,"71.890.123/0001-67",2026-07-30 17:07:33.409,
27,Hyperion Corretora de Seguros,"82.901.234/0001-78",2026-07-30 17:07:33.409,
28,InovaTech Soluções em Nuvem Ltda,"93.012.345/0001-89",2026-07-30 17:07:33.409,
29,Jardim & Cia Paisagismo Ltda,"14.123.456/0001-90",2026-07-30 17:07:33.409,
30,Kroma Sistemas Eletrônicos,"25.234.567/0001-02",2026-07-30 17:07:33.409,
31,Lumina Iluminação Inteligente S.A.,"36.345.678/0001-13",2026-07-30 17:07:33.409,
32,Metrópole Empreendimentos Imobiliários,"47.456.789/0001-24",2026-07-30 17:07:33.409,
33,Nova Era Cosméticos Ltda,"58.567.890/0001-35",2026-07-30 17:07:33.409,
34,Omni Segurança Patrimonial Ltda,"69.678.901/0001-46",2026-07-30 17:07:33.409,
35,Pinnacle Capital Gestão de Ativos,"70.789.012/0001-57",2026-07-30 17:07:33.409,
36,Quantum Processamento de Dados Ltda,"81.890.123/0001-68",2026-07-30 17:07:33.409,
37,Rede Sul Comercial de Alimentos,"92.901.234/0001-79",2026-07-30 17:07:33.409,
38,Solaris Energia Fotovoltaica S.A.,"13.012.345/0001-80",2026-07-30 17:07:33.409,
39,Terra Viva Agronegócios Ltda,"24.123.456/0001-91",2026-07-30 17:07:33.409,
40,União Farma Distribuidora S.A.,"35.234.567/0001-03",2026-07-30 17:07:33.409,
41,Veloce Transportes Rápidos Ltda,"46.345.678/0001-14",2026-07-30 17:07:33.409,
42,Wave Mídia e Entretenimento,"57.456.789/0001-25",2026-07-30 17:07:33.409,
43,Xtreme Equipamentos Industriais Ltda,"68.567.890/0001-36",2026-07-30 17:07:33.409,
44,Ypsilon Assessoria Jurídica e Fiscal,"79.678.901/0001-47",2026-07-30 17:07:33.409,
45,Zênite Soluções Ambientais S.A.,"80.789.012/0001-58",2026-07-30 17:07:33.409,
46,Aura Moda e Vestuário Ltda,"91.890.123/0001-69",2026-07-30 17:07:33.409,
47,BlueSky Linhas Aéreas e Cargas,"12.901.234/0001-70",2026-07-30 17:07:33.409,
48,Cortex Inteligência de Mercado Ltda,"23.012.345/0001-81",2026-07-30 17:07:33.409,
49,DynaTech Motores e Peças S.A.,"34.123.456/0001-92",2026-07-30 17:07:33.409,
50,Nova Horizonte Tecnologia,"10.254.781/0001-01",2026-07-31 10:05:45.051,
51,Comercial Vale Verde,"11.348.925/0001-02",2026-07-31 10:05:45.051,
52,Indústria Sol Nascente,"12.467.813/0001-03",2026-07-31 10:05:45.051,
53,Grupo Águia Azul,"13.592.174/0001-04",2026-07-31 10:05:45.051,
54,Logística Prime Express,"14.628.495/0001-05",2026-07-31 10:05:45.051,
55,Distribuidora Central,"15.739.281/0001-06",2026-07-31 10:05:45.051,
56,Construtora Horizonte,"16.815.374/0001-07",2026-07-31 10:05:45.051,
57,Mercantil Oliveira,"17.924.561/0001-08",2026-07-31 10:05:45.051,
58,Tech Solutions Brasil,"18.037.825/0001-09",2026-07-31 10:05:45.051,
59,Auto Peças Nacional,"19.148.936/0001-10",2026-07-31 10:05:45.051,
60,Farmácia Vida,"20.259.147/0001-11",2026-07-31 10:05:45.051,
61,Rede Econômica,"21.361.258/0001-12",2026-07-31 10:05:45.051,
62,Metalúrgica Forte,"22.472.369/0001-13",2026-07-31 10:05:45.051,
63,Papelaria Ideal,"23.583.470/0001-14",2026-07-31 10:05:45.051,
64,Supermercado União,"24.694.581/0001-15",2026-07-31 10:05:45.051,
65,Atacadão Nordeste,"25.705.692/0001-16",2026-07-31 10:05:45.051,
66,EletroMix,"26.816.703/0001-17",2026-07-31 10:05:45.051,
67,Casa das Ferramentas,"27.927.814/0001-18",2026-07-31 10:05:45.051,
68,Alpha Comércio,"28.038.925/0001-19",2026-07-31 10:05:45.051,
69,Beta Serviços,"29.149.036/0001-20",2026-07-31 10:05:45.051,
70,Gamma Engenharia,"30.250.147/0001-21",2026-07-31 10:05:45.051,
71,Delta Construções,"31.361.258/0001-22",2026-07-31 10:05:45.051,
72,Ômega Sistemas,"32.472.369/0001-23",2026-07-31 10:05:45.051,
73,Sigma Consultoria,"33.583.470/0001-24",2026-07-31 10:05:45.051,
74,Atlas Transportes,"34.694.581/0001-25",2026-07-31 10:05:45.051,
75,Vision Informática,"35.705.692/0001-26",2026-07-31 10:05:45.051,
76,Brasil Agro,"36.816.703/0001-27",2026-07-31 10:05:45.051,
77,Agro Forte,"37.927.814/0001-28",2026-07-31 10:05:45.051,
78,Litoral Comércio,"38.038.925/0001-29",2026-07-31 10:05:45.051,
79,Porto Log,"39.149.036/0001-30",2026-07-31 10:05:45.051,
80,Eco Energia,"40.250.147/0001-31",2026-07-31 10:05:45.051,
81,Max Equipamentos,"41.361.258/0001-32",2026-07-31 10:05:45.051,
82,Digital Office,"42.472.369/0001-33",2026-07-31 10:05:45.051,
83,Master Solutions,"43.583.470/0001-34",2026-07-31 10:05:45.051,
84,Infinity Telecom,"44.694.581/0001-35",2026-07-31 10:05:45.051,
85,Global Import,"45.705.692/0001-36",2026-07-31 10:05:45.051,
86,Nacional Export,"46.816.703/0001-37",2026-07-31 10:05:45.051,
87,Smart Tecnologia,"47.927.814/0001-38",2026-07-31 10:05:45.051,
88,Ideal Distribuição,"48.038.925/0001-39",2026-07-31 10:05:45.051,
89,Premium Serviços,"49.149.036/0001-40",2026-07-31 10:05:45.051,
90,Pioneira Engenharia,"50.250.147/0001-41",2026-07-31 10:05:45.051,
91,Capital Financeira,"51.361.258/0001-42",2026-07-31 10:05:45.051,
92,Solar Energia,"52.472.369/0001-43",2026-07-31 10:05:45.051,
93,Mares do Sul,"53.583.470/0001-44",2026-07-31 10:05:45.051,
94,Verde Campo,"54.694.581/0001-45",2026-07-31 10:05:45.051,
95,Nobre Móveis,"55.705.692/0001-46",2026-07-31 10:05:45.051,
96,Top Construções,"56.816.703/0001-47",2026-07-31 10:05:45.051,
97,Prime Engenharia,"57.927.814/0001-48",2026-07-31 10:05:45.051,
98,Infinity Foods,"58.038.925/0001-49",2026-07-31 10:05:45.051,
99,Central Bebidas,"59.149.036/0001-50",2026-07-31 10:05:45.051,
100,Ápice Tecnologia,"60.250.147/0001-51",2026-07-31 10:05:45.051,
101,Fênix Soluções,"61.361.258/0001-52",2026-07-31 10:05:45.051,
102,Lince Comércio,"62.472.369/0001-53",2026-07-31 10:05:45.051,
103,Orion Sistemas,"63.583.470/0001-54",2026-07-31 10:05:45.051,
104,Titan Indústria,"64.694.581/0001-55",2026-07-31 10:05:45.051,
105,Delta Logística,"65.705.692/0001-56",2026-07-31 10:05:45.051,
106,Nova Era Informática,"66.816.703/0001-57",2026-07-31 10:05:45.051,
107,Master Agro,"67.927.814/0001-58",2026-07-31 10:05:45.051,
108,Conecta Telecom,"68.038.925/0001-59",2026-07-31 10:05:45.051,
109,Mundo Digital,"69.149.036/0001-60",2026-07-31 10:05:45.051,
110,Blue Ocean,"70.250.147/0001-61",2026-07-31 10:05:45.051,
111,Costa Norte,"71.361.258/0001-62",2026-07-31 10:05:45.051,
112,Vale Industrial,"72.472.369/0001-63",2026-07-31 10:05:45.051,
113,Horizonte Verde,"73.583.470/0001-64",2026-07-31 10:05:45.051,
114,Líder Atacado,"74.694.581/0001-65",2026-07-31 10:05:45.051,
115,Mega Center,"75.705.692/0001-66",2026-07-31 10:05:45.051,
116,Central Tech,"76.816.703/0001-67",2026-07-31 10:05:45.051,
117,Polo Comercial,"77.927.814/0001-68",2026-07-31 10:05:45.051,
118,Rio Branco Serviços,"78.038.925/0001-69",2026-07-31 10:05:45.051,
119,Aurora Indústria,"79.149.036/0001-70",2026-07-31 10:05:45.051,
120,Excelência Engenharia,"80.250.147/0001-71",2026-07-31 10:05:45.051,
121,Integra Sistemas,"81.361.258/0001-72",2026-07-31 10:05:45.051,
122,Mercado Popular,"82.472.369/0001-73",2026-07-31 10:05:45.051,
123,Brasil Construções,"83.583.470/0001-74",2026-07-31 10:05:45.051,
124,Elite Consultoria,"84.694.581/0001-75",2026-07-31 10:05:45.051,
125,Smart Office,"85.705.692/0001-76",2026-07-31 10:05:45.051,
126,Norte Sul Comércio,"86.816.703/0001-77",2026-07-31 10:05:45.051,
127,Master Equipamentos,"87.927.814/0001-78",2026-07-31 10:05:45.051,
128,Ponto Certo,"88.038.925/0001-79",2026-07-31 10:05:45.051,
129,Inova Digital,"89.149.036/0001-80",2026-07-31 10:05:45.051,
130,Nova Geração,"90.250.147/0001-81",2026-07-31 10:05:45.051,
131,Global Serviços,"91.361.258/0001-82",2026-07-31 10:05:45.051,
132,Total Engenharia,"92.472.369/0001-83",2026-07-31 10:05:45.051,
133,Infinity Group,"93.583.470/0001-84",2026-07-31 10:05:45.051,
134,Prime Comércio,"94.694.581/0001-85",2026-07-31 10:05:45.051,
135,Alpha Digital,"95.705.692/0001-86",2026-07-31 10:05:45.051,
136,Beta Industrial,"96.816.703/0001-87",2026-07-31 10:05:45.051,
137,Gamma Express,"97.927.814/0001-88",2026-07-31 10:05:45.051,
138,Delta Center,"98.038.925/0001-89",2026-07-31 10:05:45.051,
139,Omega Tecnologia,"99.149.036/0001-90",2026-07-31 10:05:45.051,
140,Brasil Connect,"10.260.147/0001-91",2026-07-31 10:05:45.051,
141,Nova Capital,"11.371.258/0001-92",2026-07-31 10:05:45.051,
142,Integra Brasil,"12.482.369/0001-93",2026-07-31 10:05:45.051,
143,Vision Tech,"13.593.470/0001-94",2026-07-31 10:05:45.051,
144,Avante Soluções,"14.604.581/0001-95",2026-07-31 10:05:45.051,
145,Rota Certa Logística,"15.715.692/0001-96",2026-07-31 10:05:45.051,
146,Futuro Engenharia,"16.826.703/0001-97",2026-07-31 10:05:45.051,
147,Grupo Impacto,"17.937.814/0001-98",2026-07-31 10:05:45.051,
148,Comercial Vitória,"18.048.925/0001-99",2026-07-31 10:05:45.051,
149,Rede Evolução,"19.159.036/0001-00",2026-07-31 10:05:45.051,
150,Apex Tecnologia,"20.170.101/0001-01",2026-07-31 10:07:02.778,
151,Horizonte Comercial,"20.170.102/0001-02",2026-07-31 10:07:02.778,
152,Nova Visão Engenharia,"20.170.103/0001-03",2026-07-31 10:07:02.778,
153,Império Logística,"20.170.104/0001-04",2026-07-31 10:07:02.778,
154,Integra Sistemas,"20.170.105/0001-05",2026-07-31 10:07:02.778,
155,Fortaleza Indústria,"20.170.106/0001-06",2026-07-31 10:07:02.778,
